component	pypi_package	version	wheel_subdir	extract	linux_only
runtime	nvidia_cuda_runtime	13.2.51	cu13	lib,include	no
cublas	nvidia_cublas	13.3.0.5	cu13	lib,include	no
cupti	nvidia_cuda_cupti	13.2.23	cu13	lib,include	no
nvrtc	nvidia_cuda_nvrtc	13.2.51	cu13	lib,include	no
cufft	nvidia_cufft	12.2.0.37	cu13	lib,include	no
cusolver	nvidia_cusolver	12.1.0.51	cu13	lib,include	no
cusparse	nvidia_cusparse	12.7.9.17	cu13	lib,include	no
nvjitlink	nvidia_nvjitlink	13.2.51	cu13	lib,include	no
nvcc	nvidia_cuda_nvcc	13.2.51	cu13	bin,include,nvvm	no
cudnn	nvidia_cudnn_cu13	9.20.0.48	cudnn	lib,include	no
nccl	nvidia_nccl_cu13	2.29.7	nccl	lib,include	yes
nvshmem	nvidia_nvshmem_cu13	3.6.5	nvshmem	lib,include	yes
